Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
8/24/2018,Cash,Food,Rajgira ladu,,20,Expense,INR
8/24/2018,Cash,Food,Milk,Half lit  milk,36,Expense,INR
8/24/2018,Cash,Festivals,Navratri,Ganpati+ navratri vargani,1000,Expense,INR
8/23/2018,Credit Card,Transportation,train,2 Place 2 to Place 3 : Sevagram express 3AC,1305.4,Expense,INR
8/23/2018,Credit Card,Transportation,train,2 Place 3 to Place 2 : Amritsar express 3AC,1205.4,Expense,INR
8/23/2018,Saving Bank account 1,Food,Lunch,Catering Service,60,Expense,INR
8/22/2018,Cash,Food,Milk,Half lit  milk,37,Expense,INR
8/22/2018,Saving Bank account 1,Life Insurance,,,11043,Transfer-Out,INR
8/21/2018,Cash,Food,Tea,cutting chai,12,Expense,INR
8/21/2018,Cash,Food,Milk,Half lit  milk,36,Expense,INR
8/19/2018,Saving Bank account 1,subscription,Netflix,1 month subscription,199,Expense,INR
8/17/2018,Saving Bank account 1,Food,curd,Dahi 2 packets,20,Expense,INR
8/17/2018,Cash,Food,Milk,Half lit  milk,36,Expense,INR
8/17/2018,Saving Bank account 1,Dividend earned on Shares,,Pidilite Stocks,22,Income,INR
8/16/2018,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157,Expense,INR
8/15/2018,Cash,Food,Sweets,Warna Srikhand half kg,290,Expense,INR
8/15/2018,Cash,Food,flour mill,M D sure 4kg atta,216,Expense,INR
8/14/2018,Saving Bank account 1,Dividend earned on Shares,,ITC Stocks,124,Income,INR
8/14/2018,Cash,Family,Pocket money,,30,Expense,INR
8/14/2018,Cash,Food,snacks,Dahi,32,Expense,INR
8/14/2018,Cash,Household,Kirana,Toothpaste Patanjali,160,Expense,INR
8/14/2018,Cash,Apparel,Laundry,8 clothes ironing,56,Expense,INR
8/14/2018,Cash,Food,Ice cream,Vanila family pack,115,Expense,INR
8/13/2018,Cash,Household,Appliances,5 litres can Distilled water,100,Expense,INR
8/13/2018,Cash,Household,home decor,Brass Puja plate and diva,220,Expense,INR
8/13/2018,Cash,Food,Grocery,Half kg Lahsoon,45,Expense,INR
8/13/2018,Cash,Household,Kirana,Supermart,594,Expense,INR
8/13/2018,Cash,Food,Ice cream,Vanila cup,10,Expense,INR
8/13/2018,Cash,Food,Ice cream,chocobar,20,Expense,INR
8/13/2018,Saving Bank account 1,Small Cap fund 2,,,5000,Transfer-Out,INR
8/13/2018,Saving Bank account 1,Small cap fund 1,,,5000,Transfer-Out,INR
8/11/2018,Cash,Food,snacks,8 kachori,96,Expense,INR
8/10/2018,Cash,Family,Pocket money,,35,Expense,INR
8/7/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000,Transfer-Out,INR
8/6/2018,Cash,Beauty,grooming,hair cut,100,Expense,INR
8/5/2018,Cash,Family,Pocket money,,100,Expense,INR
8/5/2018,Cash,Food,Tea,cutting chai,10,Expense,INR
8/5/2018,Credit Card,Health,Health,eyewear Glasses payment remaining,4300,Expense,INR
8/5/2018,Credit Card,Apparel,Clothing,For Family,3410,Expense,INR
8/5/2018,Cash,Transportation,Train,Place 0 to Place 4 return,20,Expense,INR
8/5/2018,Cash,Transportation,auto,Current Residence to Place 0,15,Expense,INR
8/5/2018,Credit Card,Family,clothes,Bows,398,Expense,INR
8/3/2018,Saving Bank account 1,Other,,From Family,100,Income,INR
8/3/2018,Cash,Family,Pocket money,,2000,Expense,INR
8/3/2018,Saving Bank account 1,Dividend earned on Shares,,Redington Stocks,180,Income,INR
8/2/2018,Cash,Household,Kirana,Supermart,18,Expense,INR
8/2/2018,Cash,Food,flour mill,M D sure 4kg atta,216,Expense,INR
8/2/2018,Cash,Health,Health,eyewear Glasses advance,1000,Expense,INR
8/1/2018,Cash,Family,Pocket money,,40,Expense,INR
8/1/2018,Saving Bank account 1,Public Provident Fund,,,12500,Transfer-Out,INR
8/1/2018,Equity Mutual Fund B,Saving Bank account 1,,,2000,Transfer-Out,INR
7/31/2018,Cash,Apparel,Laundry,13 clothes ironing,91,Expense,INR
7/31/2018,Saving Bank account 1,Money transfer,Home,,30000,Expense,INR
7/31/2018,Cash,maid,,July salary,2000,Expense,INR
7/31/2018,Cash,Food,chocolate,10 melody,10,Expense,INR
7/31/2018,Saving Bank account 1,Salary,,From workplace ,70255,Income,INR
7/30/2018,Cash,Health,Medicine,Glucose D(50) + flora bc (40)+cyra 20(10),100,Expense,INR
7/30/2018,Cash,Health,Medicine,,132,Expense,INR
7/30/2018,Saving Bank account 1,Food,Lunch,Catering Service,212,Expense,INR
7/30/2018,Cash,Food,breakfast,1 plates poha,25,Expense,INR
7/29/2018,Saving Bank account 1,Food,Eating out,Paneer pizza,260,Expense,INR
7/29/2018,Cash,Transportation,auto,Decathlon Place A to Place A station,50,Expense,INR
7/29/2018,Cash,Transportation,auto,Current Residence to Place 0,15,Expense,INR
7/29/2018,Saving Bank account 1,Transportation,Train,2 Place 0 to Place A returns,40,Expense,INR
7/29/2018,Cash,Food,breakfast,Medu vada 3 plate,105,Expense,INR
7/28/2018,Cash,Family,Pocket money,,200,Expense,INR
7/28/2018,Debit Card,Culture,Movie,2 INOX ,481.36,Expense,INR
7/28/2018,Cash,Food,vegetables,,195,Expense,INR
7/28/2018,Credit Card,Household,Kirana,Supermart,3750,Expense,INR
7/27/2018,Saving Bank account 1,Other,,Demat account charges,826,Expense,INR
7/26/2018,Cash,Food,Biscuits,Toast packet,40,Expense,INR
7/26/2018,Saving Bank account 1,Tax refund,,,6780,Income,INR
7/23/2018,Credit Card,subscription,Tata Sky,Current Residence - Tata Play recharge,154,Expense,INR
7/23/2018,Cash,Food,breakfast,4 plates poha,100,Expense,INR
7/21/2018,Cash,Household,Kirana,Supermart,368,Expense,INR
7/21/2018,Cash,Food,fruits,Khajur pav kg,30,Expense,INR
7/21/2018,Saving Bank account 1,Food,snacks,2 Bhajipav + 2 vadapav,60,Expense,INR
7/21/2018,Cash,Food,Biscuits,Toast packet,45,Expense,INR
7/20/2018,Cash,Food,Ice cream,chocobar,20,Expense,INR
7/20/2018,Cash,Food,Potato,potato 1kg,25,Expense,INR
7/20/2018,Cash,Food,Onions,onion 1 kg,25,Expense,INR
7/20/2018,Saving Bank account 1,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,155,Expense,INR
7/20/2018,Cash,Health,Medicine,Cataract Medicine,87,Expense,INR
7/20/2018,Credit Card,Health,Medicine,Cataract Medicine,1048,Expense,INR
7/19/2018,Cash,Food,curd,Dahi 4 packets,40,Expense,INR
7/18/2018,Cash,Food,flour mill,M D sure 4kg atta,216,Expense,INR
7/16/2018,Cash,Apparel,Laundry,12 clothes ironing,84,Expense,INR
7/16/2018,Credit Card,Household,Hardware,Sony WI-C100 earphones wireless,1190,Expense,INR
7/16/2018,Cash,Food,snacks,7 kachori,84,Expense,INR
7/15/2018,Cash,Food,fruits,,30,Expense,INR
7/15/2018,Cash,Food,vegetables,,500,Expense,INR
7/15/2018,Cash,Food,snacks,4 kachori,48,Expense,INR
7/14/2018,Saving Bank account 1,Other,,CA  - income tax filing,2000,Expense,INR
7/13/2018,Saving Bank account 1,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,188,Expense,INR
7/13/2018,Credit Card,Health,Medicine,Cataract Medicine,1358,Expense,INR
7/13/2018,Saving Bank account 1,Small Cap fund 2,,,5000,Transfer-Out,INR
7/13/2018,Saving Bank account 1,Small cap fund 1,,,5000,Transfer-Out,INR
7/12/2018,Cash,Food,Eggs,6 eggs,35,Expense,INR
7/11/2018,Cash,Food,Bread,2 bread packets,57,Expense,INR
7/10/2018,Saving Bank account 1,Dividend earned on Shares,,Tata Steel Stocks,180,Income,INR
7/9/2018,Cash,Transportation,Petrol,3.4 Lit Petrol,360,Expense,INR
7/9/2018,Cash,Food,Biscuits,Toast packet,20,Expense,INR
7/9/2018,Cash,Food,Grocery,Shev bhaji sev pav kg,60,Expense,INR
7/8/2018,Cash,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,185,Expense,INR
7/8/2018,Saving Bank account 1,Food,Tea,3 cutting chai,30,Expense,INR
7/8/2018,Credit Card,Health,Medicine,eye drop,153,Expense,INR
7/8/2018,Cash,Health,Hospital,Hospital consultation,500,Expense,INR
7/8/2018,Cash,Transportation,Taxi,Ola cab - Current Residence CHS to eye institute,130,Expense,INR
7/8/2018,Saving Bank account 1,Transportation,Taxi,To and Fro Cab Fare Contribution,675,Expense,INR
7/7/2018,Cash,Transportation,Train,Place 4 to Place 0,10,Expense,INR
7/7/2018,Credit Card,Food,Lunch,At restaurant,2,Expense,INR
7/7/2018,Saving Bank account 1,subscription,Mahanagar Gas,,196,Expense,INR
7/7/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000,Transfer-Out,INR
7/6/2018,Cash,Food,Dinner,At restaurant,760,Expense,INR
7/6/2018,Cash,Transportation,Taxi,Park Inn Goa,100,Expense,INR
7/5/2018,Cash,Transportation,auto,Terminal 1 to Terminal 2,83,Expense,INR
7/5/2018,Cash,Food,Tea,cutting chai,7,Expense,INR
7/5/2018,Cash,Transportation,auto,Current Residence to Place 0,15,Expense,INR
7/5/2018,Cash,Transportation,Train,Place 0 to Place P,20,Expense,INR
7/4/2018,Cash,Health,Hospital,Doctor Fees,100,Expense,INR
7/4/2018,Cash,Beauty,grooming,Shaving,50,Expense,INR
7/4/2018,Cash,Family,Pocket money,,350,Expense,INR
7/4/2018,Saving Bank account 1,Health,Lab Tests,2 Thyroid (1000) + cholesterol (220) + uric acid (220),1440,Expense,INR
7/3/2018,Cash,maid,,,500,Expense,INR
7/3/2018,Saving Bank account 1,Food,Milk,Half lit  milk,36,Expense,INR
7/3/2018,Credit Card,subscription,Tata Sky,Current Residence - Tata Play recharge,154,Expense,INR
7/3/2018,Saving Bank account 1,Dividend earned on Shares,,Infosys Stocks,52.5,Income,INR
7/3/2018,Equity Mutual Fund B,Saving Bank account 1,,,2000,Transfer-Out,INR
7/2/2018,Saving Bank account 1,Household,Kirana,Supermart,1595,Expense,INR
7/2/2018,Cash,Transportation,auto,Place 1 bridge to Current Residence 2 seats,50,Expense,INR
7/2/2018,Cash,Transportation,Bus,2 Place 6 Stand to MS,20,Expense,INR
7/2/2018,Credit Card,Household,home decor,Face towels + shampoo,626,Expense,INR
7/2/2018,Cash,Transportation,Bus,2 Place 1 to  mall,26,Expense,INR
7/2/2018,Cash,Transportation,auto,Current Residence to Place 1 bus stop highway,40,Expense,INR
7/1/2018,Debit Card,Culture,Movie,2 PVR ,461,Expense,INR
7/1/2018,Credit Card,Transportation,Travels,2 Place 2 to Place 1 - Shree Sharma Travels,1890,Expense,INR
7/1/2018,Saving Bank account 1,Food,snacks,Vadapav,15,Expense,INR
7/1/2018,Saving Bank account 1,Apparel,Clothing,undergarments pair of Jockey,430,Expense,INR
7/1/2018,Cash,Apparel,Laundry,clothes ironing,98,Expense,INR
7/1/2018,Saving Bank account 1,Food,Milk,milk 1lit ,72,Expense,INR
7/1/2018,Saving Bank account 1,Public Provident Fund,,,12500,Transfer-Out,INR
7/1/2018,Saving Bank account 1,Money transfer,Home,,10000,Expense,INR
6/30/2018,Saving Bank account 1,Household,Appliances,Aqugurad PRV,1200,Expense,INR
6/30/2018,Saving Bank account 1,Dividend earned on Shares,,Asian paints Stocks,43,Income,INR
6/30/2018,Saving Bank account 1,Interest,,interest paid,342,Income,INR
6/30/2018,Saving Bank account 1,Salary,,From workplace ,65122,Income,INR
6/29/2018,Saving Bank account 1,Dividend earned on Shares,,HUL Stocks,44,Income,INR
6/29/2018,Cash,Household,Hardware,Tulsi plant+ pot,70,Expense,INR
6/29/2018,Cash,Household,Kitchen,Math tap repair,50,Expense,INR
6/29/2018,Cash,Household,Appliances,3 bulbs 3 pencil cells,270,Expense,INR
6/28/2018,Credit Card,Food,Dinner,Home Food Delivery,455,Expense,INR
6/28/2018,Cash,Food,snacks,Bhaji + vadapav + kachori+ tea,70,Expense,INR
6/28/2018,Cash,Transportation,Taxi,Vadala road to Nehru Planetarium,228,Expense,INR
6/28/2018,Credit Card,Apparel,Footwear,Mast & Harbour Slides,64.82,Expense,INR
6/27/2018,Credit Card,Tourism,Entry Fees,Planetarium,308.85,Expense,INR
6/27/2018,Saving Bank account 1,Other,,From Family,3000,Income,INR
6/27/2018,Cash,Food,Tea,2 cups,14,Expense,INR
6/27/2018,Cash,Household,gadgets,Mobile cover real mi note pro,100,Expense,INR
6/27/2018,Credit Card,Other,,Shopping at Alfa,4720,Expense,INR
6/27/2018,Cash,Household,gadgets,Mouse pad,100,Expense,INR
6/27/2018,Credit Card,Apparel,Accessories,Purse,450,Expense,INR
6/27/2018,Credit Card,Apparel,Footwear,Rainy season chappal,550,Expense,INR
6/27/2018,Cash,Transportation,auto,Place P station to Alfa market,25,Expense,INR
6/27/2018,Cash,Transportation,Train,2 Place 0 to Place P return,80,Expense,INR
6/27/2018,Cash,Transportation,auto,2 Current Residence to Place 0,30,Expense,INR
6/27/2018,Share Market Trading,Saving Bank account 1,,Refund,2549.59,Transfer-Out,INR
6/26/2018,Cash,Transportation,auto,2 Place 0 to Current Residence,30,Expense,INR
6/26/2018,Credit Card,Household,Kirana,Supermart,1990,Expense,INR
6/26/2018,Saving Bank account 1,Household,Appliances,Aqugurad water purifier,13050,Expense,INR
6/26/2018,Saving Bank account 1,Household,Hardware,Umbrella handle repair,70,Expense,INR
6/26/2018,Cash,Transportation,Train,Place 0 to Place 4 return,20,Expense,INR
6/26/2018,Cash,Food,Tea,2 cutting chai,20,Expense,INR
6/26/2018,Cash,Food,snacks,Bhaji + vadapav,30,Expense,INR
6/25/2018,Saving Bank account 1,Food,Lunch,Home Food Delivery,320,Expense,INR
6/25/2018,Credit Card,Household,Kirana,Smart point,2074,Expense,INR
6/24/2018,Cash,Transportation,auto,2 Place 0 to Current Residence,40,Expense,INR
6/24/2018,Saving Bank account 1,Food,breakfast,Bread,18,Expense,INR
6/24/2018,Saving Bank account 1,Food,Milk,milk 1lit ,72,Expense,INR
6/24/2018,Credit Card,Health,Health,Suppliemnts,211.75,Expense,INR
6/24/2018,Cash,Transportation,Train,2 Place 5 to Place 0,30,Expense,INR
6/24/2018,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157,Expense,INR
6/24/2018,Cash,Food,snacks,2 Vadapav 2 samosa pav,60,Expense,INR
6/23/2018,Credit Card,subscription,Mobile Service Provider,Annual recharge,2545,Expense,INR
6/23/2018,Cash,Transportation,auto,,30,Expense,INR
6/22/2018,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,181,Expense,INR
6/19/2018,Saving Bank account 1,Family,Pocket money,,2000,Expense,INR
6/19/2018,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,25,Expense,INR
6/18/2018,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,15,Expense,INR
6/16/2018,Saving Bank account 1,Share Market,,,8500,Transfer-Out,INR
6/15/2018,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,15,Expense,INR
6/15/2018,Saving Bank account 1,Transportation,train,2CC Place 2 to DDR Spl Train,1213.6,Expense,INR
6/13/2018,Saving Bank account 1,Small Cap fund 2,,,5000,Transfer-Out,INR
6/13/2018,Saving Bank account 1,Small cap fund 1,,,5000,Transfer-Out,INR
6/11/2018,Cash,Food,Eggs,12 eggs,84,Expense,INR
6/11/2018,Credit Card,Self-development,,Marathon,1407,Expense,INR
6/10/2018,Saving Bank account 1,Household,home decor,Sofa covers,3000,Expense,INR
6/9/2018,Credit Card,subscription,Mobile Service Provider,Data booster pack,667,Expense,INR
6/7/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000,Transfer-Out,INR
6/1/2018,Saving Bank account 1,Public Provident Fund,,,12500,Transfer-Out,INR
6/1/2018,Equity Mutual Fund B,Saving Bank account 1,,,2000,Transfer-Out,INR
5/31/2018,Saving Bank account 1,Salary,,From workplace ,65134,Income,INR
5/30/2018,Saving Bank account 1,Dividend earned on Shares,,HDFC Stocks,88,Income,INR
5/28/2018,Credit Card,subscription,Mobile Service Provider,Data booster pack,25,Expense,INR
5/28/2018,Cash,Beauty,grooming,hair cut,100,Expense,INR
5/27/2018,Saving Bank account 2,Interest,,interest paid,28,Income,INR
5/27/2018,Cash,Household,Kirana,Soap + dahya pav kg,75,Expense,INR
5/26/2018,Cash,Transportation,auto,Permanent Residence to Motor Driving school,50,Expense,INR
5/24/2018,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,667,Expense,INR
5/23/2018,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,166,Expense,INR
5/22/2018,Cash,Health,Health,2 All out refill,154,Expense,INR
5/22/2018,Saving Bank account 1,Life Insurance,,,11043,Transfer-Out,INR
5/21/2018,Cash,Family,Pocket money,,140,Expense,INR
5/20/2018,Saving Bank account 1,Family,misc,"Soap, shampoo, razor",122,Expense,INR
5/19/2018,Cash,Household,Kitchen,flour mill,25,Expense,INR
5/19/2018,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,15,Expense,INR
5/18/2018,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,301,Expense,INR
5/15/2018,Saving Bank account 1,Food,Ice cream,Cookies & cream family pack,135,Expense,INR
5/15/2018,Cash,Transportation,auto,within city,30,Expense,INR
5/15/2018,Saving Bank account 1,Household,Appliances,LG Washing Machine,21500,Expense,INR
5/15/2018,Cash,Transportation,auto,Permanent Residence to GH road,50,Expense,INR
5/14/2018,Saving Bank account 1,Amazon pay cashback,,,21,Income,INR
5/14/2018,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,301,Expense,INR
5/14/2018,Cash,Other,,Digilock room charges,40,Expense,INR
5/14/2018,Cash,Transportation,auto,Place 2 station to Permanent Residence,50,Expense,INR
5/14/2018,Cash,Food,snacks,Potato chips,15,Expense,INR
5/14/2018,Saving Bank account 1,Food,fruits,2 dozens mango + 1kg litchi,1250,Expense,INR
5/14/2018,Cash,Transportation,Train,2 Place 0 to Place 3,40,Expense,INR
5/14/2018,Cash,Transportation,auto,2 Current Residence to Place 0,40,Expense,INR
5/13/2018,Cash,Apparel,Laundry,clothes ironing,77,Expense,INR
5/13/2018,Cash,Education,Stationary,Gel pen Refills,12,Expense,INR
5/13/2018,Cash,scrap,,,20,Income,INR
5/13/2018,Saving Bank account 1,Small Cap fund 2,,,5000,Transfer-Out,INR
5/13/2018,Saving Bank account 1,Small cap fund 1,,,5000,Transfer-Out,INR
5/12/2018,Credit Card,Food,Dinner,Domino's Pizza,437,Expense,INR
5/12/2018,Cash,Food,Lunch,Catering Service,70,Expense,INR
5/12/2018,Cash,Food,snacks,4 kachori,48,Expense,INR
5/12/2018,Saving Bank account 1,Food,Milk,milk 1lit ,72,Expense,INR
5/11/2018,Cash,Food,Rajgira ladu,1 packet,20,Expense,INR
5/10/2018,Saving Bank account 1,Food,Ice cream,2 Faluda,80,Expense,INR
5/10/2018,Saving Bank account 1,Other,,NEFT from Big Share Services,947,Income,INR
5/9/2018,Cash,subscription,Newspaper,Mata + TOI + ET,12,Expense,INR
5/9/2018,Cash,Food,Biscuits,Toast packet,45,Expense,INR
5/9/2018,Cash,Food,Milk,Half lit  milk,36,Expense,INR
5/9/2018,Credit Card,subscription,Netflix,,199,Expense,INR
5/8/2018,Cash,Food,Sweets,Kaju katli half kg,500,Expense,INR
5/8/2018,Saving Bank account 1,Food,Milk,milk 1lit ,72,Expense,INR
5/8/2018,Cash,Beauty,grooming,Shaving,50,Expense,INR
5/7/2018,Credit Card,Household,Toiletries,Handwash container2 + window cleaner,1086,Expense,INR
5/7/2018,Cash,Transportation,Bike,Mall parking,20,Expense,INR
5/7/2018,Saving Bank account 1,subscription,Mahanagar Gas,,515,Expense,INR
5/7/2018,Saving Bank account 1,Food,Lunch,Home Food Delivery,430,Expense,INR
5/7/2018,Cash,Food,Milk,milk 1lit ,72,Expense,INR
5/7/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000,Transfer-Out,INR
5/6/2018,Saving Bank account 1,Other,,From Family,3000,Income,INR
5/5/2018,Cash,Family,Pocket money,,600,Expense,INR
5/4/2018,Cash,Household,Kirana,Supermart,37,Expense,INR
5/4/2018,Saving Bank account 1,Food,Milk,milk 1lit ,72,Expense,INR
5/3/2018,Saving Bank account 1,Food,snacks,Bhaji + vadapav,40,Expense,INR
5/2/2018,Saving Bank account 1,Food,fruits,Mango 1.5 kg,280,Expense,INR
5/1/2018,Cash,Food,Milk,milk 1lit ,72,Expense,INR
5/1/2018,Saving Bank account 1,Health,Medicine,ITone eye drops,43,Expense,INR
5/1/2018,Saving Bank account 1,Health,Medicine,Refresh Tears Drop,122,Expense,INR
5/1/2018,Cash,Family,Pocket money,,260,Expense,INR
5/1/2018,Saving Bank account 1,Public Provident Fund,,,12500,Transfer-Out,INR
5/1/2018,Equity Mutual Fund B,Saving Bank account 1,,,2000,Transfer-Out,INR
5/1/2018,Saving Bank account 1,Money transfer,Home,,10000,Expense,INR
4/30/2018,Cash,Food,snacks,6 kachori,72,Expense,INR
4/30/2018,Cash,Household,Kirana,Supermart,165,Expense,INR
4/30/2018,Credit Card,subscription,Tata Sky,Current Residence - Tata Play recharge,176,Expense,INR
4/30/2018,Cash,Food,Biscuits,Toast packet,45,Expense,INR
4/30/2018,Cash,Food,Milk,milk 1lit ,72,Expense,INR
4/30/2018,Cash,Gift,,To Family,500,Expense,INR
4/29/2018,Saving Bank account 1,Food,beverage,2 sugarcane juice,40,Expense,INR
4/29/2018,Saving Bank account 1,Salary,,From workplace ,65134,Income,INR
4/28/2018,Credit Card,Food,Dinner,Home Food Delivery,413,Expense,INR
4/28/2018,Cash,Family,Pocket money,,500,Expense,INR
4/27/2018,Cash,Household,Kirana,Supermart,295,Expense,INR
4/26/2018,Cash,Food,snacks,Noodles packet,30,Expense,INR
4/26/2018,Saving Bank account 1,Food,Milk,milk 1lit ,72,Expense,INR
4/26/2018,Cash,Family,Pocket money,,1000,Expense,INR
4/25/2018,Cash,Food,Lunch,Catering Service,70,Expense,INR
4/24/2018,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157,Expense,INR
4/23/2018,Saving Bank account 1,Household,Kirana,Idli pith 1kg,38,Expense,INR
4/23/2018,Cash,maid,,,500,Expense,INR
4/22/2018,Cash,Food,vegetables,,10,Expense,INR
4/22/2018,Cash,Household,Kirana,Supermart,190,Expense,INR
4/22/2018,Saving Bank account 1,Food,Milk,milk 1lit ,72,Expense,INR
4/21/2018,Cash,Food,Ice cream,Naturals,160,Expense,INR
4/21/2018,Cash,Food,curd,Dahi 2 packets,20,Expense,INR
4/20/2018,Saving Bank account 1,Food,Dinner,Sugaran Kitchen,70,Expense,INR
4/19/2018,Cash,Household,Kitchen,flour mill,14,Expense,INR
4/19/2018,Saving Bank account 1,Food,Eggs,6 eggs,36,Expense,INR
4/19/2018,Saving Bank account 1,Food,Milk,milk 1lit ,72,Expense,INR
4/17/2018,Cash,Food,Milk,milk 1lit ,72,Expense,INR
4/16/2018,Saving Bank account 1,Education,Stationary,3 Pens,21,Expense,INR
4/16/2018,Saving Bank account 1,Apparel,Laundry,clothes ironing,63,Expense,INR
4/16/2018,Saving Bank account 1,Household,Kirana,Cockroach injection,270,Expense,INR
4/16/2018,Saving Bank account 1,Household,Kirana,Supermart,265,Expense,INR
4/16/2018,Credit Card,Household,Kirana,Smart point,450,Expense,INR
4/15/2018,Cash,Food,snacks,pav Bhaji,70,Expense,INR
4/15/2018,Cash,Food,Tea,2 cutting chai,20,Expense,INR
4/15/2018,Credit Card,Household,Kitchen,"Vessels for sugar, coffee and tea",799,Expense,INR
4/15/2018,Credit Card,Family,makeup,Body mist,525,Expense,INR
4/15/2018,Cash,Transportation,Bike,Station Parking,10,Expense,INR
4/15/2018,Cash,Transportation,Train,Place 0 to Place 4 return,20,Expense,INR
